cntry,ccnthum,ccrdprs,wrclmch,gndr,agea,eisced,impricha,ipeqopta,ipmodsta,impfuna,impenva
AT,Mainly human,4,Very worried,Male,65,Upper upper sec,Not like me,Like me,Like me,Somewhat like me,Like me
AT,Equal natural and human,A lot,Extremely worried,Female,21,Lower tertiary,A little like me,Like me,Like me,Like me,Very much like me
AT,Mainly human,8,Extremely worried,Female,53,Higher tertiary,A little like me,Very much like me,Somewhat like me,Like me,Very much like me
AT,Mainly human,6,Very worried,Female,78,Lower tertiary,A little like me,Like me,Like me,Somewhat like me,Like me
AT,Entirely human,A lot,Very worried,Male,64,Upper upper sec,A little like me,Like me,Somewhat like me,Like me,Like me
AT,Entirely human,8,Very worried,Female,59,Advanced voc,Like me,Like me,Somewhat like me,Like me,Like me
AT,Mainly human,7,Somewhat worried,Female,77,Lower upper sec,A little like me,Somewhat like me,Somewhat like me,A little like me,Somewhat like me
AT,Mainly human,8,Very worried,Female,69,Other,Not at all like me,Very much like me,A little like me,A little like me,Very much like me
AT,Mainly human,8,Very worried,Female,52,Lower tertiary,Somewhat like me,Very much like me,Like me,Somewhat like me,Very much like me
AT,Equal natural and human,2,Not very worried,Female,75,Lower upper sec,A little like me,Very much like me,Very much like me,A little like me,Somewhat like me
AT,Mainly human,8,Very worried,Female,44,Lower tertiary,A little like me,Very much like me,Somewhat like me,Like me,Like me
AT,Mainly human,7,Somewhat worried,Male,49,Upper upper sec,A little like me,Very much like me,Like me,Like me,Very much like me
AT,Mainly human,8,Very worried,Female,63,Upper upper sec,Somewhat like me,Like me,Somewhat like me,Somewhat like me,Very much like me
AT,Equal natural and human,4,Somewhat worried,Female,76,Lower upper sec,A little like me,Like me,Like me,A little like me,Like me
AT,Entirely human,6,Very worried,Female,30,Other,A little like me,Somewhat like me,Not like me,Not like me,A little like me
AT,Equal natural and human,A lot,Very worried,Female,67,Upper upper sec,Not at all like me,Very much like me,Like me,Very much like me,Very much like me
